Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 11,Exporting enterprises,By business type,NA,Maori Small to Medium Enterprises,Count,60,Year ended December 2016,1 and 2 and 2 and 2
Table 11,Exporting enterprises,By business type,NA,Maori Tourism,Count,…,Year ended December 2016,1 and 2 and 3 and 3
Table 11,Exporting enterprises,By business type,NA,All New Zealand Businesses,Count,13251,Year ended December 2017,1 and 2
Table 11,Exporting enterprises,By business type,NA,Maori authorities,Count,15,Year ended December 2017,1 and 2 and 1
Table 11,Exporting enterprises,By business type,NA,Maori Small to Medium Enterprises,Count,60,Year ended December 2017,1 and 2 and 2 and 2
Table 11,Exporting enterprises,By business type,NA,Maori Tourism,Count,…,Year ended December 2017,1 and 2 and 3 and 3
Table 11,Exporting enterprises,By business type,NA,All New Zealand Businesses,Count,12943,Year ended December 2018,1 and 2
Table 11,Exporting enterprises,By business type,NA,Maori authorities,Count,18,Year ended December 2018,1 and 2 and 1
Table 11,Exporting enterprises,By business type,NA,Maori Small to Medium Enterprises,Count,72,Year ended December 2018,1 and 2 and 2 and 2
Table 11,Exporting enterprises,By business type,NA,Maori Tourism,Count,…,Year ended December 2018,1 and 2 and 3 and 3
Table 11,Exporting enterprises,By business type,NA,All New Zealand Businesses,Count,12728,Year ended December 2019,1 and 2
Table 11,Exporting enterprises,By business type,NA,Maori authorities,Count,15,Year ended December 2019,1 and 2 and 1
Table 11,Exporting enterprises,By business type,NA,Maori Small to Medium Enterprises,Count,69,Year ended December 2019,1 and 2 and 2 and 2
Table 11,Exporting enterprises,By business type,NA,Maori Tourism,Count,…,Year ended December 2019,1 and 2 and 3 and 3
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,All other land,Average per Maori farm,Hectares,77,At 30 June 2018,1 and 2 and 1 and 7 and 3
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Bush and scrub,Average per Maori farm,Hectares,185,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Grassland,Average per Maori farm,Hectares,604,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Horticulture land,Average per Maori farm,Hectares,11,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Plantation,Average per Maori farm,Hectares,250,At 30 June 2018,1 and 2 and 1 and 7 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Stock units,Average per Maori farm,Number,5769,At 30 June 2018,1 and 2 and 1 and 7 and 6
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Supplementary feed crops harvested,Average per Maori farm,Hectares,38,During year ended 30 June 2018,1 and 2 and 1 and 7 and 5
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Total land area,Average per Maori farm,Hectares,1127,At 30 June 2018,1 and 2 and 1 and 7 and 4
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,All other land,Average per NZ farm,Hectares,66,At 30 June 2018,1 and 2 and 1 and 7 and 3
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Bush and scrub,Average per NZ farm,Hectares,21,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Grassland,Average per NZ farm,Hectares,149,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Horticulture land,Average per NZ farm,Hectares,3,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Plantation,Average per NZ farm,Hectares,32,At 30 June 2018,1 and 2 and 1 and 7 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Stock units,Average per NZ farm,Number,1705,At 30 June 2018,1 and 2 and 1 and 7 and 6
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Supplementary feed crops harvested,Average per NZ farm,Hectares,24,During year ended 30 June 2018,1 and 2 and 1 and 7 and 5
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Total land area,Average per NZ farm,Hectares,271,At 30 June 2018,1 and 2 and 1 and 7 and 4
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,All other land,Maori farms share of NZ Total,Percent,0.8,At 30 June 2018,1 and 2 and 1 and 7 and 3
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Bush and scrub,Maori farms share of NZ Total,Percent,5.9,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Grassland,Maori farms share of NZ Total,Percent,2.7,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Horticulture land,Maori farms share of NZ Total,Percent,2.9,At 30 June 2018,1 and 2 and 1 and 7
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Plantation,Maori farms share of NZ Total,Percent,5.2,At 30 June 2018,1 and 2 and 1 and 7 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Stock units,Maori farms share of NZ Total,Percent,2.3,At 30 June 2018,1 and 2 and 1 and 7 and 6
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Supplementary feed crops harvested,Maori farms share of NZ Total,Percent,1.1,During year ended 30 June 2018,1 and 2 and 1 and 7 and 5
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Total land area,Maori farms share of NZ Total,Percent,2.8,At 30 June 2018,1 and 2 and 1 and 7 and 4
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,All other land,Maori farms total,Hectares,26500,At 30 June 2018,1 and 2 and 3
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Bush and scrub,Maori farms total,Hectares,63300,At 30 June 2018,1 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Grassland,Maori farms total,Hectares,207100,At 30 June 2018,1 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Horticulture land,Maori farms total,Hectares,3900,At 30 June 2018,1 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Plantation,Maori farms total,Hectares,85600,At 30 June 2018,1 and 2 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Stock units,Maori farms total,Number,1978800,At 30 June 2018,1 and 2 and 6
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Supplementary feed crops harvested,Maori farms total,Hectares,13100,During year ended 30 June 2018,1 and 2 and 5
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Total land area,Maori farms total,Hectares,386400,At 30 June 2018,1 and 2 and 4
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,All other land,New Zealand total farms,Hectares,3334300,At 30 June 2018,1 and 2 and 3
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Bush and scrub,New Zealand total farms,Hectares,1065000,At 30 June 2018,1 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Grassland,New Zealand total farms,Hectares,7548900,At 30 June 2018,1 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Horticulture land,New Zealand total farms,Hectares,133900,At 30 June 2018,1 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Plantation,New Zealand total farms,Hectares,1642400,At 30 June 2018,1 and 2 and 2
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Stock units,New Zealand total farms,Number,86521400,At 30 June 2018,1 and 2 and 6
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Supplementary feed crops harvested,New Zealand total farms,Hectares,1211600,During year ended 30 June 2018,1 and 2 and 5
Table 12,"Land use, stock units, and supplementary feed",Maori farms and total NZ farms,Total land area,New Zealand total farms,Hectares,13724500,At 30 June 2018,1 and 2 and 4
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Beef breeding cows and heifers,Average_per_Maori_farm,Hectares,406,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Breeding ewes and hoggets,Average_per_Maori_farm,Hectares,5261,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Milking cows and heifers,Average_per_Maori_farm,Hectares,788,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total beef cattle,Average_per_Maori_farm,Hectares,805,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total dairy cattle,Average_per_Maori_farm,Hectares,891,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total deer,Average_per_Maori_farm,Hectares,1790,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total lambs tailed during the year,Average_per_Maori_farm,Number,6154,During year ended 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total sheep,Average_per_Maori_farm,Hectares,6822,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Beef breeding cows and heifers,Average_per_NZ_farm,Hectares,104,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Breeding ewes and hoggets,Average_per_NZ_farm,Hectares,1295,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Milking cows and heifers,Average_per_NZ_farm,Hectares,417,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total beef cattle,Average_per_NZ_farm,Hectares,164,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total dairy cattle,Average_per_NZ_farm,Hectares,445,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total deer,Average_per_NZ_farm,Hectares,611,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total lambs tailed during the year,Average_per_NZ_farm,Number,1536,During year ended 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total sheep,Average_per_NZ_farm,Hectares,1601,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Beef breeding cows and heifers,Maori farms share of NZ Total,Percent,4.4,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Breeding ewes and hoggets,Maori farms share of NZ Total,Percent,3.2,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Milking cows and heifers,Maori farms share of NZ Total,Percent,1.3,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total beef cattle,Maori farms share of NZ Total,Percent,3.4,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total dairy cattle,Maori farms share of NZ Total,Percent,1.3,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total deer,Maori farms share of NZ Total,Percent,0.5,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total lambs tailed during the year,Maori farms share of NZ Total,Percent,3,During year ended 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total sheep,Maori farms share of NZ Total,Percent,3.1,At 30 June 2018,1 and 2 and 1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Beef breeding cows and heifers,Maori farms total,Hectares,44800,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Breeding ewes and hoggets,Maori farms total,Hectares,612600,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Milking cows and heifers,Maori farms total,Hectares,66500,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total beef cattle,Maori farms total,Hectares,127200,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total dairy cattle,Maori farms total,Hectares,86000,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total deer,Maori farms total,Hectares,4400,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total lambs tailed during the year,Maori farms total,Number,743500,During year ended 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total sheep,Maori farms total,Hectares,844700,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Beef breeding cows and heifers,New Zealand total farms,Hectares,1029100,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Breeding ewes and hoggets,New Zealand total farms,Hectares,19179900,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Milking cows and heifers,New Zealand total farms,Hectares,5010300,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total beef cattle,New Zealand total farms,Hectares,3721300,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total dairy cattle,New Zealand total farms,Hectares,6385500,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total deer,New Zealand total farms,Hectares,851400,At 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total lambs tailed during the year,New Zealand total farms,Number,24707200,During year ended 30 June 2018,1 and 2
Table 13,Selected livestock numbers,Maori farms and total NZ farms,Total sheep,New Zealand total farms,Hectares,27295700,At 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Hectares of pasture renewed,Average per hectare of grassland on Maori farms,Percent,3,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of fertiliser applied,Average per hectare of grassland on Maori farms,Number,22,During year ended 30 June 2018,1 and 2 and 1
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of lime and dolomite applied,Average per hectare of grassland on Maori farms,Number,4,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Hectares of pasture renewed,Average per hectare of grassland on NZ farms,Percent,5,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of fertiliser applied,Average per hectare of grassland on NZ farms,Number,28,During year ended 30 June 2018,1 and 2 and 1
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of lime and dolomite applied,Average per hectare of grassland on NZ farms,Number,15,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Hectares of pasture renewed,Maori farms share of NZ Total,Percent,1.5,During year ended 30 June 2018,1 and 2 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of fertiliser applied,Maori farms share of NZ Total,Percent,2.1,During year ended 30 June 2018,1 and 2 and 2 and 1
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of lime and dolomite applied,Maori farms share of NZ Total,Percent,0.8,During year ended 30 June 2018,1 and 2 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Hectares of pasture renewed,Maori farms total,Number,5700,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of fertiliser applied,Maori farms total,Number,45000,During year ended 30 June 2018,1 and 2 and 1
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of lime and dolomite applied,Maori farms total,Number,8500,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Hectares of pasture renewed,New Zealand total farms,Number,369100,During year ended 30 June 2018,1 and 2
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of fertiliser applied,New Zealand total farms,Number,2133900,During year ended 30 June 2018,1 and 2 and 1
Table 14,Selected farm practices,Maori farms and total NZ farms,Tonnes of lime and dolomite applied,New Zealand total farms,Number,1123800,During year ended 30 June 2018,1 and 2
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,17,2011,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,18,2011,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,27,2011,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,29,2011,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,42,2011,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,26,2011,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,30,2011,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,43,2011,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,17,2011,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,9,2011,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,21,2011,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,14,2011,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,25,2011,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,21,2011,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,12,2011,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,86,2011,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,38,2012,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,25,2012,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,26,2012,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,50,2012,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,25,2012,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,26,2012,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,32,2012,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,50,2012,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,25,2012,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,8,2012,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,15,2012,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,0,2012,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,25,2012,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,22,2012,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,9,2012,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,83,2012,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,27,2013,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,24,2013,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,35,2013,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,38,2013,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,45,2013,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,28,2013,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,33,2013,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,50,2013,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,9,2013,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,8,2013,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,15,2013,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,13,2013,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,27,2013,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,19,2013,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,15,2013,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,75,2013,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,25,2014,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,24,2014,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,28,2014,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,25,2014,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,50,2014,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,29,2014,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,37,2014,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,63,2014,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,25,2014,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,8,2014,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,14,2014,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,13,2014,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,25,2014,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,20,2014,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,14,2014,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,88,2014,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,40,2015,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,26,2015,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,27,2015,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,33,2015,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,50,2015,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,29,2015,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,37,2015,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,50,2015,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,20,2015,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,9,2015,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,16,2015,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,17,2015,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,30,2015,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,20,2015,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,12,2015,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,75,2015,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,22,2016,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,25,2016,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,24,2016,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,20,2016,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,44,2016,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,30,2016,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,43,2016,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,47,2016,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,22,2016,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,7,2016,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,9,2016,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,7,2016,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,22,2016,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,23,2016,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,21,2016,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,87,2016,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,27,2017,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,24,2017,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,29,2017,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,28,2017,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,55,2017,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,33,2017,1
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Small to Medium Enterprises,Percent,43,2017,1 and 4
Table 15,Selected business activities,2011–19,Investment in expansion,Maori Tourism,Percent,44,2017,1 and 6
Table 15,Selected business activities,2011–19,Research and development,Maori authorities,Percent,18,2017,1
Table 15,Selected business activities,2011–19,Research and development,All New Zealand Businesses,Percent,11,2017,1
Table 15,Selected business activities,2011–19,Research and development,Maori Small to Medium Enterprises,Percent,14,2017,1 and 4
Table 15,Selected business activities,2011–19,Research and development,Maori Tourism,Percent,11,2017,1 and 6
Table 15,Selected business activities,2011–19,Tourism sales,Maori authorities,Percent,27,2017,1
Table 15,Selected business activities,2011–19,Tourism sales,All New Zealand Businesses,Percent,23,2017,1
Table 15,Selected business activities,2011–19,Tourism sales,Maori Small to Medium Enterprises,Percent,24,2017,1 and 4
Table 15,Selected business activities,2011–19,Tourism sales,Maori Tourism,Percent,89,2017,1 and 6 and 6
Table 15,Selected business activities,2011–19,Export sales,Maori authorities,Percent,33,2018,1 and 3
Table 15,Selected business activities,2011–19,Export sales,All New Zealand Businesses,Percent,24,2018,1 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Small to Medium Enterprises,Percent,25,2018,1 and 4 and 3
Table 15,Selected business activities,2011–19,Export sales,Maori Tourism,Percent,20,2018,1 and 5 and 3
Table 15,Selected business activities,2011–19,Investment in expansion,Maori authorities,Percent,50,2018,1
Table 15,Selected business activities,2011–19,Investment in expansion,All New Zealand Businesses,Percent,32,2018,1
